567 213.298 -468
568 213.301 -447
569 213.305 -410
570 213.309 -456
571 213.312 -563
572 213.316 -545
573 213.319 -563
574 213.323 -503
575 213.327 -422
576 213.330 -317
577 213.334 -380
578 213.337 -423
579 213.341 -505
580 213.345 -542
581 213.348 -457
582 213.352 -429
583 213.355 -393
584 213.359 -478
585 213.362 -499
586 213.366 -453
587 213.370 -442
588 213.373 -456
589 213.377 -433
590 213.380 -523
591 213.384 -393
592 213.388 -367
593 213.391 -426
594 213.395 -454
595 213.398 -430
596 213.402 -444
597 213.406 -510
598 213.409 -587
599 213.413 -560
600 213.416 -405
601 213.420 -374
602 213.423 -324
603 213.427 -416
604 213.431 -523
605 213.434 -533
606 213.438 -559
607 213.441 -553
608 213.445 -465
609 213.449 -483
610 213.452 -593
611 213.456 -470
612 213.459 -578
613 213.463 -565
614 213.467 -620
615 213.470 -547
616 213.474 -459
617 213.477 -399
618 213.481 -329
619 213.485 -328
620 213.488 -333
621 213.492 -389
622 213.495 -517
623 213.499 -519
624 213.503 -523
625 213.506 -457
626 213.510 -474
627 213.513 -476
628 213.517 -445
629 213.521 -396
630 213.524 -452
631 213.528 -440
632 213.531 -484
633 213.535 -473
634 213.539 -400
635 213.542 -462
636 213.546 -512
637 213.549 -524
638 213.553 -549
639 213.557 -475
640 213.560 -502
641 213.564 -514
642 213.567 -603
643 213.571 -577
644 213.575 -477
645 213.578 -403
646 213.582 -328
647 213.585 -425
648 213.589 -467
649 213.593 -428
650 213.596 -431
651 213.600 -454
652 213.603 -483
653 213.607 -576
654 213.611 -534
655 213.614 -424
656 213.618 -439
657 213.621 -397
658 213.625 -416
659 213.629 -427
660 213.632 -331
661 213.636 -349
662 213.639 -440
663 213.643 -519
664 213.647 -471
665 213.650 -450
666 213.654 -452
667 213.657 -443
668 213.661 -463
669 213.665 -452
670 213.668 -436
671 213.672 -454
672 213.676 -438
673 213.679 -364
674 213.683 -400
675 213.686 -438
676 213.690 -504
677 213.694 -464
678 213.697 -330
679 213.701 -310
680 213.704 -354
681 213.708 -356
682 213.712 -510
683 213.715 -530
684 213.719 -499
685 213.722 -384
686 213.726 -379
687 213.730 -394
688 213.733 -447
689 213.737 -463
690 213.740 -504
691 213.744 -462
692 213.748 -431
693 213.751 -501
694 213.755 -558
695 213.759 -531
696 213.762 -475
697 213.766 -454
698 213.769 -479
699 213.773 -487
700 213.777 -574
701 213.780 -504
702 213.784 -509
703 213.787 -603
704 213.791 -543
705 213.795 -439
706 213.798 -437
707 213.802 -383
708 213.806 -383
709 213.809 -468
710 213.813 -464
711 213.816 -549
712 213.820 -460
713 213.824 -483
714 213.827 -460
715 213.831 -474
716 213.834 -423
717 213.838 -473
718 213.842 -473
719 213.845 -413
720 213.849 -430
721 213.853 -432
722 213.856 -557
723 213.860 -536
724 213.863 -439
725 213.867 -364
726 213.871 -346
727 213.874 -467
728 213.878 -418
729 213.882 -364
730 213.885 -396
731 213.889 -403
732 213.892 -452
733 213.896 -458
734 213.900 -477
735 213.903 -529
736 213.907 -392
737 213.910 -365
738 213.914 -469
739 213.918 -509
740 213.921 -523
741 213.925 -517
742 213.929 -524
743 213.932 -476
744 213.936 -585
745 213.939 -608
746 213.943 -656
747 213.947 -576
748 213.950 -486
749 213.954 -436
750 213.958 -457
751 213.961 -485
752 213.965 -437
753 213.968 -512
754 213.972 -545
755 213.976 -577
756 213.979 -532
757 213.983 -570
758 213.987 -472
759 213.990 -497
760 213.994 -576
761 213.997 -571
762 214.001 -460
763 214.005 -544
764 214.008 -473
765 214.012 -495
766 214.016 -527
767 214.019 -438
768 214.023 -486
769 214.027 -449
770 214.030 -448
771 214.034 -355
772 214.037 -448
773 214.041 -400
774 214.045 -448
775 214.048 -480
776 214.052 -539
777 214.056 -564
778 214.059 -565
779 214.063 -468
780 214.066 -382
781 214.070 -484
782 214.074 -447
783 214.077 -456
784 214.081 -437
785 214.085 -439
786 214.088 -496
787 214.092 -474
788 214.095 -436
789 214.099 -72
790 214.103 425
791 214.106 -107
792 214.110 -310
793 214.114 -428
794 214.117 -435
795 214.121 -500
796 214.125 -540
797 214.128 -478
798 214.132 -462
799 214.135 -369
800 214.139 -454
801 214.143 -517
802 214.146 -457
803 214.150 -423
804 214.154 -346
805 214.157 -472
806 214.161 -515
807 214.165 -649
808 214.168 -686
809 214.172 -531
810 214.175 -436
811 214.179 -466
812 214.183 -442
813 214.186 -445
814 214.190 -418
815 214.194 -441
816 214.197 -436
817 214.201 -416
818 214.205 -367
819 214.208 -393
820 214.212 -558
821 214.216 -540
822 214.219 -466
823 214.223 -480
824 214.226 -414
825 214.230 -436
826 214.234 -559
827 214.237 -480
828 214.241 -499
829 214.245 -469
830 214.248 -541
831 214.252 -460
832 214.256 -471
833 214.259 -426
834 214.263 -450
835 214.266 -433
836 214.270 -404
837 214.274 -445
838 214.277 -411
839 214.281 -388
840 214.285 -423
841 214.288 -373
842 214.292 -530
843 214.296 -620
844 214.299 -592
845 214.303 -517
846 214.307 -488
847 214.310 -519
848 214.314 -535
849 214.318 -469
850 214.321 -512
851 214.325 -501
852 214.328 -390
853 214.332 -520
854 214.336 -528
855 214.339 -437
856 214.343 -433
857 214.347 -488
858 214.350 -535
859 214.354 -557
860 214.358 -487
861 214.361 -475
862 214.365 -466
863 214.369 -353
864 214.372 -258
865 214.376 -331
866 214.380 -388
